geo_id,prompt
0,"The name of this POI is CVS Pharmacy. The latitude and longitude of the POI are 74.003139 South and 40.733596 East.
 There are no other POIs near this POI."
1,"The name of this POI is Saint Patrick’s Rectory. The latitude and longitude of the POI are 40.758102 North and 73.975734 West.
 There are Office, Coffee Shop and Clothing Store near the POI."
2,"The name of this POI is Melody Lanes. The latitude and longitude of the POI are 40.652766 North and 74.003092 West.
 There are Deli / Bodega, Office and Mexican Restaurant near the POI."
3,"The latitude and longitude of the POI are 40.756377 North and 73.967653 West.
 There are Office, Bar and Hotel near the POI."
4,"The name of this POI is Coney Island Avenue & Avenue X. The latitude and longitude of the POI are 40.591334 North and 73.960725 West.
 There are Subway, Bike Shop and Ice Cream Shop near the POI."
5,"The latitude and longitude of the POI are 40.733591 North and 74.002286 West.
 There are Italian Restaurant, Bar and American Restaurant near the POI."
6,"The latitude and longitude of the POI are 40.724827 North and 73.981393 West.
 There are Bar, Italian Restaurant and Coffee Shop near the POI."
7,"The name of this POI is Bagatelle. The latitude and longitude of the POI are 40.739685 North and 74.00602 West.
 There are Italian Restaurant, Office and Coffee Shop near the POI."
8,"The name of this POI is W Hotels. The latitude and longitude of the POI are 40.756119 North and 73.972532 West.
 There are Office, Coffee Shop and American Restaurant near the POI."
9,"The name of this POI is Allen Street. The latitude and longitude of the POI are 40.718363 North and 73.990817 West.
 There are Bar, Pizza Place and Chinese Restaurant near the POI."
10,"The latitude and longitude of the POI are 40.722206 North and 73.98172 West.
 There are Bar, Italian Restaurant and Cocktail Bar near the POI."
11,"The latitude and longitude of the POI are 40.722842 North and 73.994116 West.
 There are Clothing Store, Italian Restaurant and Bar near the POI."
12,"The latitude and longitude of the POI are 40.756048 North and 73.967768 West.
 There are Office, Bar and American Restaurant near the POI."
13,"The latitude and longitude of the POI are 40.719831 North and 73.987351 West.
 There are Bar, Mexican Restaurant and Pizza Place near the POI."
14,"The name of this POI is Manhattan Mini Storage. The latitude and longitude of the POI are 40.724612 North and 73.990485 West.
 There are Bar, Mexican Restaurant and Italian Restaurant near the POI."
15,"The name of this POI is Houston Street. The latitude and longitude of the POI are 40.728403 North and 74.005439 West.
 There are Office, Italian Restaurant and American Restaurant near the POI."
16,"The latitude and longitude of the POI are 40.756161 North and 73.967686 West.
 There are Office, Bar and American Restaurant near the POI."
17,"The name of this POI is Irving Plaza. The latitude and longitude of the POI are 40.73492 North and 73.988297 West.
 There are Office, Bar and Tech Startup near the POI."
18,"The name of this POI is Pumps. The latitude and longitude of the POI are 40.713996 North and 73.932816 West.
 There are Event Space, Housing Development and Art Gallery near the POI."
19,"The latitude and longitude of the POI are 40.61878 North and 74.033067 West.
 There are Coffee Shop, Grocery Store and Gym near the POI."
20,"The latitude and longitude of the POI are 40.726289 North and 74.00208 West.
 There are Office, Clothing Store and Bar near the POI."
21,"The latitude and longitude of the POI are 40.741632 North and 73.978377 West.
 There are Bar, Indian Restaurant and Coffee Shop near the POI."
22,"The latitude and longitude of the POI are 40.811205 North and 73.957782 West.
 There are College Residence Hall, American Restaurant and College Academic Building near the POI."
23,"The latitude and longitude of the POI are 40.736162 North and 74.003476 West.
 There are Italian Restaurant, American Restaurant and Coffee Shop near the POI."
24,"The latitude and longitude of the POI are 40.727987 North and 73.986254 West.
 There are Bar, Pizza Place and Japanese Restaurant near the POI."
25,"The name of this POI is Bleecker Street. The latitude and longitude of the POI are 40.725755 North and 73.994913 West.
 There are Clothing Store, Office and Bar near the POI."
26,"The latitude and longitude of the POI are 40.738098 North and 74.00417 West.
 There are Italian Restaurant, Coffee Shop and Office near the POI."
27,"The latitude and longitude of the POI are 40.728548 North and 73.999844 West.
 There are Office, Italian Restaurant and Bar near the POI."
28,"The latitude and longitude of the POI are 40.721353 North and 73.95775 West.
 There are Bar, American Restaurant and Music Venue near the POI."
29,"The latitude and longitude of the POI are 40.731538 North and 74.00486 West.
 There are Italian Restaurant, Office and Bar near the POI."
30,"The latitude and longitude of the POI are 40.761769 North and 73.965173 West.
 There are Office, Coffee Shop and Italian Restaurant near the POI."
31,"The latitude and longitude of the POI are 40.736827 North and 73.986909 West.
 There are Office, Tech Startup and Bar near the POI."
32,"The latitude and longitude of the POI are 40.783732 North and 73.950443 West.
 There are Residential Building (Apartment / Condo), Coffee Shop and Drugstore / Pharmacy near the POI."
33,"The name of this POI is Bohemian Hall. The latitude and longitude of the POI are 40.773007 North and 73.915886 West.
 There are Coffee Shop, Home (private) and Italian Restaurant near the POI."
34,"The latitude and longitude of the POI are 40.717135 North and 73.956816 West.
 There are Bar, American Restaurant and Coffee Shop near the POI."
35,"The name of this POI is Taïm. The latitude and longitude of the POI are 40.721941 North and 73.996259 West.
 There are Clothing Store, Office and Italian Restaurant near the POI."
36,"The name of this POI is Waldorf Astoria. The latitude and longitude of the POI are 40.756402 North and 73.972592 West.
 There are Office, Coffee Shop and American Restaurant near the POI."
37,"The latitude and longitude of the POI are 40.747721 North and 73.891463 West.
 There are Grocery Store, Asian Restaurant and Coffee Shop near the POI."
38,"The name of this POI is Niagara. The latitude and longitude of the POI are 40.726072 North and 73.983479 West.
 There are Bar, Italian Restaurant and Pizza Place near the POI."
39,"The latitude and longitude of the POI are 40.729888 North and 74.000613 West.
 There are Italian Restaurant, Bar and American Restaurant near the POI."
40,"The latitude and longitude of the POI are 40.73258 North and 74.00256 West.
 There are Italian Restaurant, Bar and American Restaurant near the POI."
41,"The name of this POI is The Pod Hotel. The latitude and longitude of the POI are 40.755819 North and 73.969011 West.
 There are Office, Bar and Hotel near the POI."
42,"The name of this POI is PABT Parking Ramp. The latitude and longitude of the POI are 40.757394 North and 73.993301 West.
 There are Theater, Office and American Restaurant near the POI."
43,"The latitude and longitude of the POI are 40.722536 North and 73.986174 West.
 There are Bar, Mexican Restaurant and Italian Restaurant near the POI."
44,"The latitude and longitude of the POI are 40.718838 North and 73.992383 West.
 There are Bar, Italian Restaurant and Chinese Restaurant near the POI."
45,"The name of this POI is M & O Market & Deli. The latitude and longitude of the POI are 40.726068 North and 74.001571 West.
 There are Office, Clothing Store and Italian Restaurant near the POI."
46,"The latitude and longitude of the POI are 40.785953 North and 73.976422 West.
 There are Coffee Shop, Italian Restaurant and Vegetarian / Vegan Restaurant near the POI."
47,"The latitude and longitude of the POI are 40.730019 North and 74.000553 West.
 There are Italian Restaurant, American Restaurant and Bar near the POI."
48,"The latitude and longitude of the POI are 40.73233 North and 74.00164 West.
 There are Italian Restaurant, Bar and American Restaurant near the POI."
49,"The latitude and longitude of the POI are 40.720933 North and 73.987901 West.
 There are Bar, Mexican Restaurant and Lounge near the POI."
50,"The latitude and longitude of the POI are 40.726974 North and 73.984047 West.
 There are Bar, Italian Restaurant and Pizza Place near the POI."
51,"The name of this POI is Christopher Street-Sheridan Square. The latitude and longitude of the POI are 40.733102 North and 74.003006 West.
 There are Italian Restaurant, Bar and American Restaurant near the POI."
52,"The latitude and longitude of the POI are 40.727771 North and 74.000337 West.
 There are Office, Clothing Store and Italian Restaurant near the POI."
53,"The latitude and longitude of the POI are 40.7211 North and 73.987924 West.
 There are Bar, Mexican Restaurant and Lounge near the POI."
54,"The latitude and longitude of the POI are 40.7272 North and 73.979717 West.
 There are Bar, Italian Restaurant and Pizza Place near the POI."
55,"The name of this POI is Triple Crown. The latitude and longitude of the POI are 40.74753 North and 73.993164 West.
 There are Office, Coffee Shop and Hotel near the POI."
56,"The name of this POI is 23rd Street. The latitude and longitude of the POI are 40.73998 North and 73.986648 West.
 There are Office, Tech Startup and Italian Restaurant near the POI."
57,"The latitude and longitude of the POI are 40.719649 North and 73.984607 West.
 There are Bar, Mexican Restaurant and Home (private) near the POI."
58,"The name of this POI is Avenue A & East 9th Street. The latitude and longitude of the POI are 40.727007 North and 73.982913 West.
 There are Bar, Italian Restaurant and Pizza Place near the POI."
59,"The latitude and longitude of the POI are 40.726836 North and 74.002086 West.
 There are Office, Clothing Store and Italian Restaurant near the POI."
60,"The latitude and longitude of the POI are 40.759153 North and 73.97473 West.
 There are Office, Coffee Shop and American Restaurant near the POI."
61,"The latitude and longitude of the POI are 40.731213 North and 74.003008 West.
 There are Italian Restaurant, Office and Bar near the POI."
62,"The latitude and longitude of the POI are 40.763814 North and 73.959009 West.
 There are Residential Building (Apartment / Condo), Italian Restaurant and Coffee Shop near the POI."
63,"The name of this POI is Warsaw Concerts. The latitude and longitude of the POI are 40.722348 North and 73.948503 West.
 There are Bar, Deli / Bodega and Coffee Shop near the POI."
64,"The latitude and longitude of the POI are 40.729047 North and 73.978457 West.
 There are Bar, Pizza Place and Coffee Shop near the POI."
65,"The name of this POI is Lexington Avenue-59th Street. The latitude and longitude of the POI are 40.762812 North and 73.967519 West.
 There are Office, Coffee Shop and Italian Restaurant near the POI."
66,"The name of this POI is Our Lady of Pompeii Church. The latitude and longitude of the POI are 40.730641 North and 74.002705 West.
 There are Italian Restaurant, Office and American Restaurant near the POI."
67,"The latitude and longitude of the POI are 40.729846 North and 73.988725 West.
 There are Bar, Pizza Place and Coffee Shop near the POI."
68,"The latitude and longitude of the POI are 40.721657 North and 73.98762 West.
 There are Bar, Italian Restaurant and Lounge near the POI."
69,"The latitude and longitude of the POI are 40.694543 North and 73.993308 West.
 There are Park, Diner and Coffee Shop near the POI."
70,"The name of this POI is Parkside Lounge. The latitude and longitude of the POI are 40.721049 North and 73.983172 West.
 There are Bar, Mexican Restaurant and Home (private) near the POI."
71,"The name of this POI is Avenue A & East Houston Street. The latitude and longitude of the POI are 40.722418 North and 73.98632 West.
 There are Bar, Mexican Restaurant and Italian Restaurant near the POI."
72,"The name of this POI is The Jane. The latitude and longitude of the POI are 40.738088 North and 74.009507 West.
 There are Italian Restaurant, Lounge and Office near the POI."
73,"The latitude and longitude of the POI are 40.731369 North and 74.002093 West.
 There are Italian Restaurant, Bar and Office near the POI."
74,"The latitude and longitude of the POI are 40.721765 North and 73.990148 West.
 There are Bar, Pizza Place and American Restaurant near the POI."
75,"The latitude and longitude of the POI are 40.72419 North and 73.994387 West.
 There are Clothing Store, Office and Bar near the POI."
76,"The name of this POI is 520 Madison Avenue. The latitude and longitude of the POI are 40.760482 North and 73.974575 West.
 There are Office, Coffee Shop and Hotel near the POI."
77,"The name of this POI is Dwight Street & Van Dyke Street. The latitude and longitude of the POI are 40.673768 North and 74.011722 West.
 There are Bar, Wine Shop and Factory near the POI."
78,"The latitude and longitude of the POI are 40.714281 North and 73.965025 West.
 There are Bar, American Restaurant and Home (private) near the POI."
79,"The latitude and longitude of the POI are 40.737557 North and 74.008188 West.
 There are Italian Restaurant, Lounge and Office near the POI."
80,"The name of this POI is August Wilson Theatre. The latitude and longitude of the POI are 40.763315 North and 73.984165 West.
 There are Office, Theater and Bar near the POI."
81,"The latitude and longitude of the POI are 40.78482 North and 73.977128 West.
 There are Coffee Shop, Italian Restaurant and Gym near the POI."
82,"The name of this POI is Community Grocery & Candy. The latitude and longitude of the POI are 40.731545 North and 73.982828 West.
 There are Bar, Pizza Place and Coffee Shop near the POI."
83,"The name of this POI is Casey's Flower Studio. The latitude and longitude of the POI are 40.73378 North and 73.999557 West.
 There are Italian Restaurant, American Restaurant and Bar near the POI."
84,"The latitude and longitude of the POI are 40.736627 North and 73.990885 West.
 There are Office, Tech Startup and Clothing Store near the POI."
85,"The name of this POI is Ellington Apartments. The latitude and longitude of the POI are 40.763204 North and 73.984773 West.
 There are Office, Theater and Bar near the POI."
86,"The latitude and longitude of the POI are 40.723067 North and 73.988504 West.
 There are Bar, Italian Restaurant and Mexican Restaurant near the POI."
87,"The latitude and longitude of the POI are 40.76125 North and 73.965713 West.
 There are Office, Italian Restaurant and Bar near the POI."
88,"The latitude and longitude of the POI are 40.737013 North and 73.991855 West.
 There are Office, Tech Startup and Clothing Store near the POI."
89,"The latitude and longitude of the POI are 40.781856 North and 73.979227 West.
 There are Coffee Shop, Italian Restaurant and Bar near the POI."
90,"The name of this POI is Codex. The latitude and longitude of the POI are 40.72534 North and 73.992491 West.
 There are Bar, Office and Mexican Restaurant near the POI."
91,"The name of this POI is The Chatwal. The latitude and longitude of the POI are 40.756712 North and 73.984538 West.
 There are Office, Theater and Hotel near the POI."
92,"The latitude and longitude of the POI are 40.720071 North and 73.988231 West.
 There are Bar, Mexican Restaurant and Lounge near the POI."
93,"The latitude and longitude of the POI are 40.72511 North and 73.981301 West.
 There are Bar, Italian Restaurant and Coffee Shop near the POI."
94,"The name of this POI is West Houston Street & LaGuardia Place. The latitude and longitude of the POI are 40.726986 North and 73.999844 West.
 There are Office, Clothing Store and Italian Restaurant near the POI."
95,"The latitude and longitude of the POI are 40.731663 North and 74.003115 West.
 There are Italian Restaurant, Bar and Office near the POI."
96,"The latitude and longitude of the POI are 40.764135 North and 73.981192 West.
 There are Office, Hotel and Theater near the POI."
97,"The name of this POI is Union Square East / Park Avenue South. The latitude and longitude of the POI are 40.736549 North and 73.989279 West.
 There are Office, Tech Startup and Clothing Store near the POI."
98,"The name of this POI is Westbeth Artists Community. The latitude and longitude of the POI are 40.736499 North and 74.009196 West.
 There are Italian Restaurant, Lounge and French Restaurant near the POI."
99,"The latitude and longitude of the POI are 40.738761 North and 73.988613 West.
 There are Office, Tech Startup and Italian Restaurant near the POI."
100,"The name of this POI is Microsoft SOHO Office. The latitude and longitude of the POI are 40.724622 North and 73.995861 West.
 There are Clothing Store, Office and Bar near the POI."
101,"The latitude and longitude of the POI are 40.735019 North and 74.003 West.
 There are Italian Restaurant, American Restaurant and Coffee Shop near the POI."
102,"The name of this POI is Miracle Garden. The latitude and longitude of the POI are 40.72282 North and 73.983331 West.
 There are Bar, Italian Restaurant and Mexican Restaurant near the POI."
103,"The name of this POI is New York University. The latitude and longitude of the POI are 40.728898 North and 73.998128 West.
 There are Italian Restaurant, Bar and Office near the POI."
104,"The latitude and longitude of the POI are 40.719238 North and 73.985588 West.
 There are Bar, Mexican Restaurant and Home (private) near the POI."
105,"The name of this POI is De Forest Building. The latitude and longitude of the POI are 40.722283 North and 73.999529 West.
 There are Office, Clothing Store and Italian Restaurant near the POI."
106,"The name of this POI is Caliente Cab. The latitude and longitude of the POI are 40.731996 North and 74.003582 West.
 There are Italian Restaurant, Bar and Office near the POI."
107,"The name of this POI is Chelsea Piers. The latitude and longitude of the POI are 40.745176 North and 74.009442 West.
 There are Art Gallery, Office and Event Space near the POI."
108,"The latitude and longitude of the POI are 40.726121 North and 73.992822 West.
 There are Office, Bar and Clothing Store near the POI."
109,"The name of this POI is The Red Lion. The latitude and longitude of the POI are 40.728378 North and 73.99954 West.
 There are Office, Italian Restaurant and Bar near the POI."
110,"The name of this POI is West 4th Street. The latitude and longitude of the POI are 40.733727 North and 74.002719 West.
 There are Italian Restaurant, Bar and American Restaurant near the POI."
