geo_id,geo_positive
0,[]
1,"[3936, 4356, 8056, 8121, 8264, 9122, 9843, 18129]"
2,[]
3,[4900]
4,[]
5,"[119, 891, 6065]"
6,"[58, 93, 153, 172, 415, 1680, 2463, 15144]"
7,"[23, 72, 1036, 4120, 8862, 8905, 12314, 14234, 15996, 18376, 20161, 21946, 23606]"
8,"[510, 892, 3431, 20573]"
9,"[13, 35, 43, 129, 371, 758, 807, 810, 820, 830, 878, 920, 1002, 1099, 1154, 1180, 1256, 1482, 1867, 1919, 1989, 2021, 2177, 2272, 2305, 2453, 2954, 3990, 5529, 8437, 19292, 19396, 19918, 21746, 22132, 22309, 23044, 23537, 23630]"
10,"[3874, 6844, 13360, 22524]"
11,"[747, 16376, 18799]"
12,[6340]
13,"[9, 43, 129, 150, 176, 238, 758, 806, 820, 830, 875, 920, 1002, 1076, 1099, 1154, 1180, 1256, 1482, 1857, 1867, 1919, 1989, 2021, 2177, 2272, 2387, 2631, 2831, 2954, 3990, 5529, 6088, 8437, 12136, 14514, 19292, 19396, 21746, 22132, 23044, 23537, 23630]"
14,"[161, 872, 1044, 21810]"
15,"[39, 45, 48, 154, 159, 206, 446, 887, 989, 1058, 1125, 1126, 1222, 1399, 2078, 2094, 2646, 3525, 6585, 7064, 14374, 14398]"
16,"[301, 491, 3756, 4948, 5177, 6650, 9658, 13483, 23140]"
17,"[200, 18412]"
18,[]
19,[]
20,"[260, 426, 767, 3666, 4719, 6099, 6152, 6810, 12333, 14778, 22797, 22980, 23752]"
21,"[266, 302, 308, 319, 331, 360, 937, 952, 1030, 1257, 1292, 1335, 1802, 2617, 2778, 3089, 3975, 5871, 10372, 16720, 18511, 19778, 20911, 21617]"
22,"[1948, 15304]"
23,"[7, 495, 569, 613, 1036, 2249, 4120, 8862, 8905, 14234, 15996, 16169, 16280, 18376, 20161, 21643, 21946]"
24,"[166, 519]"
25,"[1439, 2407, 12399, 15915, 17095, 17866, 19362, 20097, 20170, 21187, 22887, 23195]"
26,"[115, 382, 836, 1293, 1830, 2016, 2020, 4059, 5922, 7230, 12320, 13555, 15439, 16164, 17346, 17732, 20825, 20978, 22758, 23435, 23769]"
27,[7250]
28,"[2888, 3760, 5800, 17454]"
29,[23197]
30,[4135]
31,"[2693, 2708, 2782, 4035, 10913, 11919]"
32,"[744, 2966, 16357, 23077, 23317, 23934]"
33,[]
34,"[882, 3354, 7780, 13593, 17632, 18315, 22386, 22598]"
35,"[9, 45, 90, 371, 532, 796, 803, 807, 810, 813, 942, 949, 1919, 2272, 2305, 2453, 3990, 6525, 19918, 22309, 23630]"
36,"[338, 603, 1241, 2608, 5087, 5260, 6962, 8262, 8705, 9685, 10759, 12139, 15463, 16219, 16773, 18602, 18858, 19192, 20616, 21448, 23049, 23400, 24027]"
37,"[6200, 8108]"
38,"[43, 50, 54, 64, 114, 146, 148, 150, 157, 176, 238, 256, 265, 268, 392, 397, 543, 567, 641, 820, 875, 884, 889, 948, 970, 1041, 1193, 1479, 1501, 1507, 1574, 1601, 1659, 1857, 1894, 2216, 2360, 2365, 2631, 3422, 4060, 4653, 8437, 8513, 12136, 12626, 13181, 14514, 14583, 14842, 15617, 17392, 18988, 19056, 19443, 20290, 20993, 21592, 22123, 22477, 22555, 22909]"
39,"[15, 45, 48, 154, 159, 206, 759, 796, 843, 887, 989, 1058, 1072, 1125, 1126, 1385, 1399, 2419, 2646, 2816, 2882, 3525, 3922, 5874, 6585, 7064, 14374, 14398, 22507, 22937]"
40,"[47, 1043, 6609, 8556]"
41,"[765, 3692, 4446, 5720, 8329, 9461, 10718, 18800]"
42,[17142]
43,"[9, 13, 38, 50, 129, 150, 176, 238, 397, 452, 758, 806, 820, 830, 875, 884, 920, 970, 1002, 1076, 1099, 1154, 1180, 1193, 1256, 1479, 1482, 1659, 1857, 1867, 1989, 2021, 2177, 2216, 2365, 2387, 2631, 2831, 5529, 6088, 8437, 8513, 12136, 14514, 15390, 15617, 17392, 18988, 19292, 19396, 19443, 21592, 21746, 22132, 22555, 23044, 23520, 23630]"
44,"[917, 1056, 1322, 1806, 2376, 15466, 18254, 18907, 19689, 20176, 20927, 21141, 23050]"
45,"[15, 35, 39, 159, 206, 371, 419, 435, 551, 700, 759, 803, 813, 843, 887, 942, 1125, 1126, 1385, 1399, 2094, 2419, 2453, 2646, 2816, 3525, 5874, 6525, 14398, 22507]"
46,[3330]
47,"[40, 1043, 8556, 13638]"
48,"[15, 39, 154, 159, 206, 622, 759, 843, 887, 989, 1042, 1058, 1072, 1125, 1126, 1198, 1222, 1385, 1399, 2111, 2419, 2646, 2816, 2882, 3525, 3580, 3922, 5874, 6585, 7064, 14374, 14398, 22507, 22937]"
49,"[53, 70, 781, 788, 792, 1005, 1357, 1395, 1547]"
50,"[38, 43, 54, 64, 114, 146, 148, 150, 157, 164, 176, 204, 238, 256, 265, 268, 392, 397, 543, 567, 641, 806, 875, 884, 889, 948, 970, 1041, 1193, 1479, 1501, 1507, 1574, 1601, 1659, 1857, 1894, 2216, 2365, 2631, 2741, 3422, 4060, 4653, 8513, 12626, 13181, 14583, 14842, 15390, 15617, 17392, 18988, 19056, 19443, 20993, 21592, 22123, 22477, 22555, 22909]"
51,"[73, 115, 327, 382, 454, 456, 836, 1293, 1746, 1762, 1830, 1883, 2020, 2113, 2297, 2359, 2859, 4876, 12320, 15439, 16164, 16476, 17732, 22075, 22758, 23577, 23608]"
52,"[103, 145, 461, 1021, 1523, 2001, 3878, 7106, 8966, 20643]"
53,"[49, 70, 781, 788, 792, 1005, 1357, 1395, 1547]"
