geo_id,seq_positive
2464,"[17792, 8320, 11394, 6274, 1537, 640, 5001, 15882, 4636, 416, 21280, 8096, 17446, 16167, 10664, 10921, 2474, 934, 2087, 7472, 17203, 16692, 20149, 12726, 10171, 10175, 1728, 3137, 4552, 18772, 15701, 12118, 5973, 1885, 6237, 5341, 11361, 10465, 7140, 8809, 1906, 19700, 3319, 14586, 13183]"
3137,"[2464, 4609, 2434, 2594, 1412, 704, 4552, 907, 875, 2029, 2929, 1464, 17562, 4987]"
4552,"[2464, 3137, 581, 1221, 1580, 1937, 2929, 20178, 17555, 12117, 3730, 2002, 2905, 1434, 22939, 6077]"
2929,"[20105, 1937, 3730, 16799, 15393, 6829, 12982, 6459, 1085, 3137, 5829, 4552, 15825, 19794, 223, 994, 21602, 18665, 3058, 16759, 4991]"
1937,"[15393, 11361, 6017, 4552, 18665, 10090, 14636, 2929, 10962, 4145, 3730, 1398, 3452, 1340, 1663]"
15393,"[7041, 4228, 23691, 1937, 13475, 1329, 825, 13370, 1212, 8132, 16976, 5329, 857, 3680, 12256, 13925, 21605, 18797, 2929]"
7041,"[3680, 15393, 42, 11]"
3680,"[15393, 7041, 17989, 22087, 19751, 11497, 42, 11, 19374, 6608, 7954, 7955, 11347, 12633]"
42,"[17418, 15371, 9741, 2579, 14868, 533, 16409, 4126, 13343, 21026, 2599, 24117, 17462, 1593, 15930, 23635, 14935, 3163, 6236, 3680, 3182, 111, 8819, 3703, 7296, 2177, 5762, 2180, 2702, 4243, 4758, 6812, 23201, 2209, 16034, 19115, 5294, 1714, 9397, 19125, 7873, 2766, 8911, 22746, 5339, 1243, 18148, 15597, 17142, 1282, 770, 3331, 11017, 1805, 2319, 2832, 17173, 6423, 1306, 289, 15657, 3385, 1350, 1354, 17743, 1375, 1904, 3956, 1912, 1403, 17792, 7041, 9602, 2432, 13190, 3980, 3481, 3498, 6578, 3009, 8650, 5066, 4045, 6608, 10202, 16863, 2536, 23024, 4595, 5622, 8703]"
6608,"[7942, 15884, 2324, 14106, 6172, 1695, 2212, 6054, 42, 17452, 3628, 945, 1338, 828, 2766, 3918, 19157, 6876, 1375, 3680, 358, 1001, 877, 115, 14454, 21623, 6778, 5246]"
7472,"[2464, 873, 12797]"
15481,"[4608, 7234, 8424, 16969, 11337, 457, 5192, 14706, 15094, 4790, 7576, 9051]"
16969,"[4608, 4674, 9988, 17498, 10826, 1614, 19408, 9585, 15481, 1402, 13819, 22108]"
4608,"[9989, 15109, 7048, 272, 4624, 5802, 22190, 12471, 1337, 6202, 3898, 16969, 10572, 2894, 13652, 5206, 1114, 2277, 4841, 12268, 15481, 1402, 3451]"
1402,"[4608, 18112, 9539, 16969, 20265, 7435, 12268, 4526, 2992, 8599, 7383]"
12268,"[4608, 352, 8962, 7139, 1508, 5703, 1875, 9112, 19833, 1402, 1406]"
6823,"[18176, 1157, 18568, 18569, 7306, 9356, 5134, 18960, 8720, 5142, 9238, 6423, 3481, 13212, 12963, 9509, 17078, 7352, 18745, 16957, 17471, 6464, 14785, 12486, 14662, 8904, 6986, 16075, 1359, 6736, 14806, 8535, 17367, 7510, 1375, 18527, 11873, 7265, 6243, 2921, 17259, 1649, 4725, 18808, 5119]"
5119,"[12710, 6823, 8904, 2384, 3986, 23250, 17462, 6423, 6651, 19069]"
8904,"[2561, 17155, 3205, 6151, 138, 9356, 7311, 5140, 6423, 10136, 13080, 1310, 6823, 14767, 6063, 9522, 7732, 17979, 2621, 194, 2373, 1865, 1611, 14542, 8535, 1498, 21086, 1375, 20709, 21740, 15341, 6003, 11125, 8054, 18808, 17273, 15358, 5119]"
6423,"[12289, 2306, 7176, 20872, 138, 7306, 7311, 1819, 795, 1953, 6823, 17791, 42, 947, 18109, 8904, 10952, 1869, 19032, 17637, 2921, 3956, 7288, 9465, 5119]"
7311,"[2432, 770, 18053, 138, 3854, 20114, 1810, 8469, 407, 6423, 1567, 951, 1350, 8904, 1869, 1873, 595, 19935, 9058, 6897, 19450, 2429]"
1406,"[5703, 18345, 12268, 20558, 19855, 20945, 6708, 4373, 21019]"
5703,"[23553, 1666, 7139, 13219, 21412, 1350, 12617, 5578, 12268, 152, 1406]"
7139,"[6464, 8962, 5703, 12268, 5967, 175, 12020, 3637, 13589, 19833, 2330, 10171, 2398, 19071]"
19833,"[8962, 7139, 1508, 2138, 12268, 12081, 852, 14580, 1364, 10775, 1337, 21210, 10171, 3966, 15359]"
8962,"[11137, 770, 15109, 3591, 5768, 24077, 4112, 403, 2835, 3733, 9112, 7577, 5662, 421, 2088, 21165, 1453, 12081, 6578, 9911, 10298, 8892, 1474, 4162, 11979, 471, 2398, 1375, 7139, 1508, 7140, 4070, 12268, 5999, 14580, 19833, 1019, 1407]"
1508,"[20352, 8962, 19843, 5768, 1185, 3878, 936, 1067, 303, 17203, 6069, 826, 3780, 5973, 471, 352, 5472, 18920, 11497, 12268, 1390, 19833]"
352,"[23937, 10114, 898, 22277, 8198, 5897, 8713, 1935, 17551, 6933, 3352, 9112, 6170, 16409, 13721, 796, 18718, 19099, 4512, 10921, 426, 10923, 3885, 173, 8496, 945, 10802, 2483, 17845, 1592, 5178, 14269, 191, 11711, 13892, 14150, 1223, 19661, 13263, 5329, 21714, 723, 8149, 1113, 3165, 8799, 1508, 4453, 613, 100, 868, 18791, 20201, 12268, 2543, 7665, 15860, 22773, 1785, 23038]"
9112,"[8962, 19970, 3591, 9991, 15252, 4904, 3241, 2475, 941, 18349, 1583, 945, 7473, 833, 6725, 1097, 5066, 3146, 7886, 2001, 20562, 852, 983, 2391, 1113, 860, 1885, 352, 10341, 4453, 233, 12268, 2166, 2300, 4861]"
1113,"[352, 416, 15591, 8664, 1097, 9961, 3146, 2835, 1591, 9112, 12505, 1019, 12189]"
1097,"[2432, 1666, 138, 1783, 12813, 17, 12690, 20883, 9112, 1945, 21784, 31, 416, 3106, 21412, 5549, 6578, 3128, 3319, 10940, 445, 1350, 7629, 3279, 1875, 1113, 1375, 4448, 1889, 22375, 1143]"
416,"[2177, 3851, 19852, 4365, 3983, 31, 2464, 13988, 1193, 17578, 17453, 46, 1710, 6964, 10171, 1097, 3146, 5325, 2255, 1113, 12505, 1760, 3048, 2667, 10093, 3319, 13567]"
3319,"[770, 416, 2464, 801, 2600, 17453, 2990, 2477, 6964, 23607, 7739, 6595, 1097, 1738, 20562, 21333, 17238, 1375, 11254, 2552, 8956]"
20055,"[7685, 17675, 19475, 17817, 9891, 6821, 13741, 6707, 572, 14269, 12480, 17607, 841, 19150, 14687, 10605, 4462, 9841, 6643]"
6707,"[19585, 1153, 14213, 9610, 17675, 8333, 13713, 18707, 20628, 5525, 2081, 7330, 22564, 4649, 13865, 19253, 13878, 20149, 1337, 22716, 1340, 1084, 10430, 10432, 6082, 6596, 5700, 22086, 10822, 10442, 3022, 16467, 5974, 20055, 982, 4570, 8282, 5467, 15072, 8931, 18661, 11494, 4462, 1902, 8688, 14961, 9841, 6010, 16126]"
4462,"[3, 8453, 9350, 22666, 6545, 4758, 2721, 7844, 5286, 11951, 6707, 23224, 572, 6082, 10819, 14662, 204, 16593, 13526, 20055, 863, 14687, 22625, 2019, 21995, 17392, 19830, 247, 1019]"
6082,"[7424, 1923, 902, 4875, 11020, 2319, 13840, 6546, 7061, 2457, 1150, 20763, 7196, 8729, 2342, 3495, 4013, 10670, 4145, 12082, 6707, 2872, 4155, 17087, 18369, 18882, 15685, 6756, 9576, 14825, 2794, 4462, 1262, 19443, 10100, 19830, 1783, 4860, 2174]"
19830,"[5124, 6150, 16902, 15878, 13318, 4113, 8212, 5655, 8730, 8731, 7196, 6174, 7712, 10786, 4145, 8259, 13892, 14921, 22105, 611, 2148, 100, 21609, 3696, 632, 12922, 5755, 2174, 3199, 2177, 23171, 5253, 6295, 13478, 13996, 20147, 2229, 9401, 2750, 12482, 7373, 211, 6870, 745, 4847, 21250, 2822, 775, 780, 19217, 786, 20260, 5945, 6973, 13634, 14150, 11594, 4960, 4462, 1397, 1913, 4474, 13183, 6022, 6541, 7061, 8087, 934, 20391, 6578, 5057, 6082, 4038, 14296, 10211, 2538, 9207]"
4145,"[20993, 1422, 1937, 21912, 9752, 1787, 3105, 5027, 4261, 6567, 17319, 1068, 4785, 951, 10171, 6082, 1474, 14921, 4042, 6474, 2254, 20567, 3452, 8286, 16379, 18152, 2548, 15349, 19830, 23546, 1019, 2812]"
14921,"[1889, 6627, 14501, 18152, 232, 18539, 1583, 4145, 19830, 17593, 3262, 8575]"
18152,"[20511, 14501, 14921, 7978, 4145, 820, 4276, 154, 3196, 20317, 3903]"
14501,"[17549, 2319, 4242, 6162, 19357, 7978, 16170, 15152, 21681, 2616, 6595, 10054, 10696, 14921, 5838, 211, 1752, 22360, 1375, 6630, 18152, 624, 2161, 20722]"
7978,"[15074, 14501, 18152, 4203, 211, 1397, 86]"
211,"[14501, 21308, 7526, 11400, 12838, 7978, 5838, 1397, 19830, 1019, 13340]"
1397,"[7978, 13085, 14269, 15023, 7165, 4722, 211, 11119, 469, 19830, 12118, 6973]"
6973,"[21736, 22504, 3695, 6831, 5555, 1397, 19830, 2229, 2453, 4122, 13725]"
2229,"[486, 5799, 12487, 2601, 13801, 6973, 17544, 8561, 1395, 12149, 19830, 86, 13725]"
13725,"[20260, 6148, 19115, 13, 2229, 1109, 1851, 6973]"
10664,"[2464, 17764, 21149, 4583, 21150, 21740, 11980, 12020, 1016, 7833, 20829, 10078]"
17453,"[416, 66, 13988, 14213, 17418, 17675, 3980, 12431, 19475, 3319]"
13988,"[416, 14213, 1673, 17418, 17453, 17203, 951]"
