geo_id,geo_positive
0,[]
1,"[7, 8]"
2,[5866]
3,"[11, 25, 9207, 9330]"
4,"[10, 4890, 8489, 9015]"
5,"[7, 3005, 3342]"
6,[24]
7,"[1, 5, 8, 13]"
8,"[1, 7]"
9,"[23, 4882]"
10,"[4, 4890, 8489]"
11,"[3, 9207]"
12,[]
13,[7]
14,[]
15,[]
16,[]
17,[]
18,"[20, 7380, 7381, 10757]"
19,[]
20,"[18, 7380, 10757]"
21,[]
22,"[2639, 3096, 3876]"
23,"[9, 4882]"
24,[6]
25,[3]
26,[]
27,[]
28,"[7758, 12171]"
29,"[5757, 7829, 11782]"
30,[14595]
31,[7854]
32,"[718, 768, 797, 1410, 1604, 1863, 2442, 3033, 3188, 4061, 4356, 5536, 5659, 6704, 8017, 8055, 10403, 10543, 10759, 10933, 11402, 11412, 11859, 12095, 12485, 12689, 12961, 13085, 13290, 13322, 13746, 13854, 14467, 14506, 14826, 15097, 15117]"
33,"[156, 254, 255, 325, 915, 1089, 1546, 1663, 1945, 2179, 2225, 2234, 2922, 3097, 3418, 3585, 4116, 4758, 14430]"
34,"[47, 49, 2911, 4614, 4935, 5856, 6366, 6639, 6949, 7190, 8371, 8794, 9998, 10265, 10640, 10697, 10746, 10911, 12297, 12453, 12609, 12830, 13079, 13219, 13348, 13498, 14859, 14981]"
35,"[699, 2157, 8806, 9656, 10094, 14444, 14508, 14764]"
36,"[144, 665, 3038, 3164, 4383, 4876, 6510, 8980, 11235, 11879, 14551]"
37,[]
38,"[7439, 8246, 9319, 13823, 14258, 14817, 14927]"
39,"[4944, 5594, 6529, 7312, 9314, 9798, 12630, 13030, 14478]"
40,[7567]
41,[]
42,"[328, 2629, 5052, 5957, 8254, 14756]"
43,"[328, 2019, 2629, 2903, 5435, 5583, 5957, 7272, 7848, 8254, 9282, 9769, 10665, 10819, 11316, 12791, 14728, 14756]"
44,[]
45,"[108, 4659, 4958, 5757, 7829, 9507, 11782, 13614, 14016]"
46,"[3098, 3665, 3827, 9978, 12309, 14075]"
47,"[34, 49, 2911, 3577, 4614, 4935, 5856, 6366, 6639, 6949, 7190, 8371, 8794, 9998, 10265, 10640, 10697, 10746, 10911, 12297, 12453, 12609, 12830, 13079, 13219, 13348, 13498, 14859, 14981]"
48,"[82, 87, 105, 1960, 1963, 2207, 2551, 5027, 5240, 5283, 5663, 7151, 7239, 8468, 8596, 9517, 10373, 10663, 13320, 13540]"
49,"[34, 47, 512, 2774, 2911, 3306, 3577, 4614, 5160, 5856, 6366, 6639, 6949, 7190, 7343, 8371, 8794, 8808, 9395, 9998, 10182, 10265, 10640, 10697, 10911, 12453, 13079, 13219, 13348, 13498, 14859, 14981]"
50,"[82, 105, 1963, 2551, 5027, 7151, 7239, 13320]"
51,"[251, 706, 936, 1662, 1915, 2457, 2704, 2944, 3323, 3335, 3367, 3612, 4167, 4602, 4737, 5333, 5458, 5502, 5854, 6297, 6306, 7560, 7583, 7619, 8104, 8561, 8633, 8688, 9062, 9076, 9396, 9699, 10132, 10170, 10463, 10847, 11089, 11340, 11560, 11899, 12092, 12270, 12347, 12462, 12604, 12871, 13343, 13583, 14130, 14759, 14960, 14966, 15152]"
52,[]
53,"[1279, 6317, 12847, 13430]"
54,[]
55,[10251]
56,[]
57,"[761, 4020]"
58,[12258]
59,"[5615, 14287]"
60,[1803]
61,[]
62,"[5081, 7559, 14347]"
63,[]
64,"[1099, 2062, 2712, 3190, 3416, 4169, 4658, 5850, 6020, 6032, 6320, 6391, 6611, 6632, 6633, 6883, 6995, 7651, 8018, 8051, 8174, 8178, 8225, 8636, 8682, 8903, 9381, 10455, 10566, 10876, 10974, 11392, 11523, 12037, 12081, 12237, 12480, 12733, 12768, 13440, 13683, 13743, 14175, 14476, 14497, 14871]"
65,"[3829, 3928, 4291, 4539, 4929, 4973, 5238, 5523, 5937, 6392, 6487, 6600, 6604, 7076, 7077, 7384, 7777, 7912, 7995, 8015, 8063, 8425, 8651, 8965, 10450, 10799, 10889, 11124, 11571, 11901, 11983, 12066, 12673, 12692, 12889, 13047, 13200, 13201, 13230, 13672, 14196, 14460, 14870, 15018]"
66,"[252, 359, 772, 1307, 1597, 2572, 3064, 5285, 5465, 6300, 7478, 10573, 12109, 13772, 14437]"
67,"[9398, 14633, 14722]"
68,[2984]
69,[]
70,"[13897, 13906]"
71,"[1855, 2931, 11122]"
72,[]
73,[]
74,[]
75,[]
76,"[1668, 1681, 2738, 12880]"
77,[]
78,[7567]
79,[3353]
80,"[967, 1257, 1794, 1991, 2896, 3445, 4268, 11821]"
81,"[84, 6933, 13044]"
82,"[48, 50, 87, 105, 1960, 1963, 2207, 2551, 5027, 5240, 5283, 7151, 7239, 8468, 8596, 9517, 10373, 10663, 13320, 13540]"
83,"[86, 3749, 10438, 11306]"
84,"[81, 6933, 7719, 8260, 13044]"
85,[]
86,"[83, 3749, 10438, 11306]"
