geo_id,seq_positive
13819,"[5140, 6165, 2084, 9256, 1195, 11692, 10426, 10685, 64, 14149, 10311, 11465, 2252, 3283, 11741, 2781, 9962, 3443, 633, 8831]"
11692,"[64, 7171, 2084, 14149, 13253, 9962, 4907, 11737, 14702, 5140, 11926, 6969, 633, 10426, 13819, 10685, 7582]"
14149,"[7171, 9862, 1287, 1549, 8846, 3473, 1042, 12562, 5140, 1299, 1939, 6165, 11926, 2084, 8870, 13734, 9256, 7209, 14121, 1195, 11692, 683, 13617, 10418, 951, 6969, 10426, 8763, 13372, 10685, 64, 10311, 11082, 8907, 971, 12877, 10830, 3283, 3547, 2781, 11741, 5991, 9960, 9710, 9072, 11249, 633, 13819]"
10426,"[5140, 2082, 2084, 5289, 1195, 11692, 13372, 14149, 10311, 971, 10449, 1874, 3283, 856, 2781, 608, 11249, 1140, 13819]"
10311,"[5140, 4634, 2084, 8870, 1195, 6969, 10426, 14149, 971, 2252, 719, 3283, 12373, 11741, 2781, 1504, 14050, 9962, 14702, 11249, 4345, 13819]"
2252,"[2084, 13829, 5668, 10311, 11592, 714, 1195, 363, 432, 3570, 13819, 286, 3583]"
2084,"[7171, 9862, 1287, 1291, 2444, 5133, 11788, 7056, 11921, 1939, 5140, 6165, 13588, 7065, 4634, 3748, 165, 8870, 1195, 11692, 14123, 14382, 10798, 9260, 14261, 13495, 6969, 10426, 8763, 13372, 10685, 64, 14149, 10311, 8905, 11082, 8907, 2252, 1357, 12877, 10830, 971, 2638, 10449, 3283, 11737, 2781, 1502, 741, 9960, 9710, 14702, 11249, 244, 633, 13819, 382]"
1195,"[7171, 1042, 5140, 6165, 4634, 4124, 6176, 2082, 2084, 7209, 14382, 3131, 8763, 13372, 64, 10311, 12877, 2638, 14413, 12375, 608, 4196, 2151, 4719, 633, 12412, 8317, 4228, 9862, 8846, 15008, 8870, 8369, 10418, 10426, 9411, 11465, 8907, 2252, 719, 3283, 2781, 14046, 9960, 9962, 8946, 244, 284, 11551, 12068, 13605, 14121, 14123, 6969, 6972, 13117, 14149, 11082, 1357, 7504, 5462, 3931, 351, 3942, 5991, 14702, 9072, 3443, 14736, 7065, 14236, 7582, 9130, 7092, 951, 10685, 10175, 971, 3537, 11737, 11741, 9710, 11249, 13819, 9727]"
2781,"[8846, 5140, 2082, 2084, 9256, 7209, 5289, 1195, 6969, 10426, 57, 64, 14149, 10311, 11465, 11741, 5991, 11249, 244, 13819]"
9256,"[14176, 12091, 10786, 14149, 9960, 11465, 11249, 244, 6969, 13819, 2781, 382]"
11741,"[9986, 7171, 13954, 5140, 4634, 7582, 419, 165, 1195, 6963, 3637, 12729, 12091, 64, 835, 14149, 10311, 12877, 12111, 3283, 10197, 2781, 3309, 11249, 244, 633, 13819]"
11249,"[7171, 5140, 4634, 7582, 2084, 8870, 9256, 7209, 5289, 1195, 13360, 6963, 6969, 10426, 8763, 14149, 10311, 11082, 12877, 1874, 2781, 11741, 14827, 9710, 14702, 9072, 244]"
7582,"[64, 11741, 7171, 13253, 9960, 12520, 1195, 11692, 8907, 13360, 11249, 7219, 5140, 6165, 244, 6969, 12091, 13117]"
