,coordinates,geo_id,geo_id_washed,poi_country,poi_id,poi_type,traffic_type,type
0,"[103.964659, 1.335264]",0,0,SG,4a5eb95bf964a52019bf1fe3,Office,poi,Point
1,"[103.844348, 1.281391]",2,1,SG,4a73e804f964a52099dd1fe3,Temple,poi,Point
2,"[103.840514, 1.279386]",3,2,SG,4ac7f7f1f964a520e9ba20e3,Hotel,poi,Point
3,"[103.845268, 1.282659]",4,3,SG,4ac8148ff964a5208bbb20e3,Temple,poi,Point
4,"[103.846958, 1.28897]",6,4,SG,4afa194af964a520b71622e3,Mall,poi,Point
5,"[103.852686, 1.295548]",9,5,SG,4b05880af964a5208aad22e3,Hotel,poi,Point
6,"[103.986199, 1.390181]",10,6,SG,4b05880af964a5208bad22e3,Hotel,poi,Point
7,"[103.841561, 1.301201]",13,7,SG,4b05880af964a52092ad22e3,Hotel,poi,Point
8,"[103.837152, 1.288553]",14,8,SG,4b05880af964a52093ad22e3,Hotel,poi,Point
9,"[103.841629, 1.317065]",15,9,SG,4b05880af964a52094ad22e3,Hotel,poi,Point
10,"[103.836164, 1.302369]",17,10,SG,4b05880af964a52097ad22e3,Hotel,poi,Point
11,"[103.855183, 1.295789]",18,11,SG,4b05880af964a52098ad22e3,Hotel,poi,Point
12,"[103.847913, 1.303449]",19,12,SG,4b05880af964a52099ad22e3,Hostel,poi,Point
13,"[103.827714, 1.306821]",20,13,SG,4b05880af964a5209aad22e3,Hotel,poi,Point
14,"[103.825948, 1.312886]",23,14,SG,4b05880af964a5209ead22e3,Hotel,poi,Point
15,"[103.852526, 1.319991]",25,15,SG,4b05880af964a520a0ad22e3,Hotel,poi,Point
16,"[103.850127, 1.298509]",26,16,SG,4b05880af964a520a2ad22e3,Hotel,poi,Point
17,"[103.844754, 1.273906]",28,17,SG,4b05880af964a520a6ad22e3,Hotel,poi,Point
18,"[103.836636, 1.288972]",29,18,SG,4b05880af964a520a7ad22e3,Hotel,poi,Point
19,"[103.85028, 1.292013]",30,19,SG,4b05880af964a520a9ad22e3,Hotel,poi,Point
20,"[103.854866, 1.298364]",32,20,SG,4b05880af964a520acad22e3,Hotel,poi,Point
21,"[103.844912, 1.29139]",33,21,SG,4b05880af964a520adad22e3,Hotel,poi,Point
22,"[103.849289, 1.298386]",34,22,SG,4b05880af964a520aead22e3,Hotel,poi,Point
23,"[103.845779, 1.288915]",35,23,SG,4b05880af964a520afad22e3,Hotel,poi,Point
24,"[103.855687, 1.310801]",36,24,SG,4b05880af964a520b0ad22e3,Hotel,poi,Point
