,coordinates,geo_id,geo_id_washed,poi_country,poi_id,poi_type,traffic_type,type
0,"[40.733596, -74.003139]",0,0,US,3fd66200f964a52000e71ee3,Jazz Club,poi,Point
1,"[-73.975734, 40.758102]",1,1,US,3fd66200f964a52000e81ee3,Gym,poi,Point
2,"[-74.003092, 40.652766]",3,2,US,3fd66200f964a52000f11ee3,Bowling Alley,poi,Point
3,"[-73.967653, 40.756377]",5,3,US,3fd66200f964a52001e81ee3,Sports Bar,poi,Point
4,"[-73.960725, 40.591334]",7,4,US,3fd66200f964a52001f11ee3,Nightclub,poi,Point
5,"[-74.002286, 40.733591]",8,5,US,3fd66200f964a52002eb1ee3,Music Venue,poi,Point
6,"[-73.981393, 40.724827]",9,6,US,3fd66200f964a52003e51ee3,Dive Bar,poi,Point
7,"[-74.00602, 40.739685]",10,7,US,3fd66200f964a52003e71ee3,French Restaurant,poi,Point
8,"[-73.972532, 40.756119]",11,8,US,3fd66200f964a52003e81ee3,Hotel Bar,poi,Point
9,"[-73.990817, 40.718363]",12,9,US,3fd66200f964a52004e41ee3,Bar,poi,Point
10,"[-73.98172, 40.722206]",13,10,US,3fd66200f964a52004e51ee3,Theater,poi,Point
11,"[-73.994116, 40.722842]",14,11,US,3fd66200f964a52004e61ee3,Cuban Restaurant,poi,Point
12,"[-73.967768, 40.756048]",15,12,US,3fd66200f964a52004e81ee3,Breakfast Spot,poi,Point
13,"[-73.987351, 40.719831]",16,13,US,3fd66200f964a52005e41ee3,Bar,poi,Point
14,"[-73.990485, 40.724612]",17,14,US,3fd66200f964a52005e51ee3,Gay Bar,poi,Point
15,"[-74.005439, 40.728403]",18,15,US,3fd66200f964a52005e71ee3,Bar,poi,Point
16,"[-73.967686, 40.756161]",19,16,US,3fd66200f964a52005e81ee3,Pub,poi,Point
17,"[-73.988297, 40.73492]",20,17,US,3fd66200f964a52005eb1ee3,Music Venue,poi,Point
18,"[-73.932816, 40.713996]",21,18,US,3fd66200f964a52005f11ee3,Strip Club,poi,Point
19,"[-74.033067, 40.61878]",22,19,US,3fd66200f964a52006e31ee3,Cocktail Bar,poi,Point
20,"[-74.00208, 40.726289]",23,20,US,3fd66200f964a52006e61ee3,French Restaurant,poi,Point
21,"[-73.978377, 40.741632]",24,21,US,3fd66200f964a52006e81ee3,Bar,poi,Point
22,"[-73.957782, 40.811205]",25,22,US,3fd66200f964a52006e91ee3,Italian Restaurant,poi,Point
23,"[-74.003476, 40.736162]",26,23,US,3fd66200f964a52006ea1ee3,French Restaurant,poi,Point
24,"[-73.986254, 40.727987]",27,24,US,3fd66200f964a52006eb1ee3,French Restaurant,poi,Point
25,"[-73.994913, 40.725755]",28,25,US,3fd66200f964a52007e61ee3,Cocktail Bar,poi,Point
26,"[-74.00417, 40.738098]",29,26,US,3fd66200f964a52007ea1ee3,American Restaurant,poi,Point
27,"[-73.999844, 40.728548]",30,27,US,3fd66200f964a52007eb1ee3,Karaoke Bar,poi,Point
28,"[-73.95775, 40.721353]",31,28,US,3fd66200f964a52008e31ee3,Thrift / Vintage Store,poi,Point
29,"[-74.00486, 40.731538]",33,29,US,3fd66200f964a52008e71ee3,Portuguese Restaurant,poi,Point
30,"[-73.965173, 40.761769]",34,30,US,3fd66200f964a52008e81ee3,Dessert Shop,poi,Point
31,"[-73.986909, 40.736827]",35,31,US,3fd66200f964a52008e91ee3,Caf�,poi,Point
32,"[-73.950443, 40.783732]",36,32,US,3fd66200f964a52008eb1ee3,Bar,poi,Point
33,"[-73.915886, 40.773007]",37,33,US,3fd66200f964a52008f11ee3,Beer Garden,poi,Point
34,"[-73.956816, 40.717135]",38,34,US,3fd66200f964a52009e31ee3,Italian Restaurant,poi,Point
35,"[-73.996259, 40.721941]",39,35,US,3fd66200f964a52009e61ee3,Bar,poi,Point
36,"[-73.972592, 40.756402]",40,36,US,3fd66200f964a52009e81ee3,American Restaurant,poi,Point
37,"[-73.891463, 40.747721]",41,37,US,3fd66200f964a52009f11ee3,Indian Restaurant,poi,Point
38,"[-73.983479, 40.726072]",42,38,US,3fd66200f964a5200ae51ee3,Bar,poi,Point
39,"[-74.000613, 40.729888]",43,39,US,3fd66200f964a5200ae61ee3,Bar,poi,Point
40,"[-74.00256, 40.73258]",44,40,US,3fd66200f964a5200ae71ee3,Sports Bar,poi,Point
41,"[-73.969011, 40.755819]",45,41,US,3fd66200f964a5200ae81ee3,French Restaurant,poi,Point
42,"[-73.993301, 40.757394]",46,42,US,3fd66200f964a5200ae91ee3,Bowling Alley,poi,Point
43,"[-73.986174, 40.722536]",47,43,US,3fd66200f964a5200be51ee3,Bar,poi,Point
44,"[-73.992383, 40.718838]",48,44,US,3fd66200f964a5200ce41ee3,Lounge,poi,Point
45,"[-74.001571, 40.726068]",49,45,US,3fd66200f964a5200ce61ee3,Bar,poi,Point
46,"[-73.976422, 40.785953]",50,46,US,3fd66200f964a5200ce91ee3,Pub,poi,Point
47,"[-74.000553, 40.730019]",51,47,US,3fd66200f964a5200de61ee3,Sports Bar,poi,Point
48,"[-74.00164, 40.73233]",52,48,US,3fd66200f964a5200de71ee3,Bar,poi,Point
49,"[-73.987901, 40.720933]",53,49,US,3fd66200f964a5200deb1ee3,Rock Club,poi,Point
50,"[-73.984047, 40.726974]",54,50,US,3fd66200f964a5200ee51ee3,Bar,poi,Point
51,"[-74.003006, 40.733102]",55,51,US,3fd66200f964a5200ee71ee3,American Restaurant,poi,Point
52,"[-74.000337, 40.727771]",56,52,US,3fd66200f964a5200eea1ee3,Sushi Restaurant,poi,Point
53,"[-73.987924, 40.7211]",57,53,US,3fd66200f964a5200fe41ee3,Rock Club,poi,Point
54,"[-73.979717, 40.7272]",58,54,US,3fd66200f964a5200fe51ee3,Bar,poi,Point
55,"[-73.993164, 40.74753]",60,55,US,3fd66200f964a5200fe91ee3,Pub,poi,Point
56,"[-73.986648, 40.73998]",61,56,US,3fd66200f964a5200fea1ee3,Salad Place,poi,Point
57,"[-73.984607, 40.719649]",63,57,US,3fd66200f964a52010e41ee3,Molecular Gastronomy Restaurant,poi,Point
58,"[-73.982913, 40.727007]",64,58,US,3fd66200f964a52010e51ee3,Dive Bar,poi,Point
59,"[-74.002086, 40.726836]",65,59,US,3fd66200f964a52010e61ee3,Sandwich Place,poi,Point
60,"[-73.97473, 40.759153]",66,60,US,3fd66200f964a52010e81ee3,Office,poi,Point
61,"[-74.003008, 40.731213]",67,61,US,3fd66200f964a52010ea1ee3,Italian Restaurant,poi,Point
62,"[-73.959009, 40.763814]",68,62,US,3fd66200f964a52010eb1ee3,Pub,poi,Point
63,"[-73.948503, 40.722348]",69,63,US,3fd66200f964a52011e31ee3,Bar,poi,Point
64,"[-73.978457, 40.729047]",70,64,US,3fd66200f964a52011e51ee3,Bar,poi,Point
65,"[-73.967519, 40.762812]",71,65,US,3fd66200f964a52011e81ee3,Dive Bar,poi,Point
66,"[-74.002705, 40.730641]",72,66,US,3fd66200f964a52011e91ee3,Record Shop,poi,Point
67,"[-73.988725, 40.729846]",73,67,US,3fd66200f964a52011ea1ee3,Malaysian Restaurant,poi,Point
68,"[-73.98762, 40.721657]",74,68,US,3fd66200f964a52011eb1ee3,Caf�,poi,Point
69,"[-73.993308, 40.694543]",75,69,US,3fd66200f964a52011f11ee3,Italian Restaurant,poi,Point
70,"[-73.983172, 40.721049]",76,70,US,3fd66200f964a52012e41ee3,Rock Club,poi,Point
71,"[-73.98632, 40.722418]",77,71,US,3fd66200f964a52012e51ee3,Sports Bar,poi,Point
72,"[-74.009507, 40.738088]",78,72,US,3fd66200f964a52012e61ee3,French Restaurant,poi,Point
73,"[-74.002093, 40.731369]",79,73,US,3fd66200f964a52012e71ee3,American Restaurant,poi,Point
74,"[-73.990148, 40.721765]",80,74,US,3fd66200f964a52013e41ee3,Italian Restaurant,poi,Point
75,"[-73.994387, 40.72419]",81,75,US,3fd66200f964a52013e61ee3,Ice Cream Shop,poi,Point
76,"[-73.974575, 40.760482]",82,76,US,3fd66200f964a52013e81ee3,Italian Restaurant,poi,Point
77,"[-74.011722, 40.673768]",85,77,US,3fd66200f964a52013eb1ee3,Pub,poi,Point
78,"[-73.965025, 40.714281]",86,78,US,3fd66200f964a52013f11ee3,American Restaurant,poi,Point
79,"[-74.008188, 40.737557]",87,79,US,3fd66200f964a52014e71ee3,Mexican Restaurant,poi,Point
80,"[-73.984165, 40.763315]",88,80,US,3fd66200f964a52014eb1ee3,Music Venue,poi,Point
81,"[-73.977128, 40.78482]",89,81,US,3fd66200f964a52015e31ee3,Bar,poi,Point
82,"[-73.982828, 40.731545]",90,82,US,3fd66200f964a52015e51ee3,Pub,poi,Point
83,"[-73.999557, 40.73378]",91,83,US,3fd66200f964a52015e71ee3,Grocery Store,poi,Point
84,"[-73.990885, 40.736627]",92,84,US,3fd66200f964a52015e91ee3,Seafood Restaurant,poi,Point
85,"[-73.984773, 40.763204]",93,85,US,3fd66200f964a52015eb1ee3,Eastern European Restaurant,poi,Point
86,"[-73.988504, 40.723067]",94,86,US,3fd66200f964a52016e51ee3,Pub,poi,Point
87,"[-73.965713, 40.76125]",95,87,US,3fd66200f964a52016e81ee3,Pub,poi,Point
88,"[-73.991855, 40.737013]",96,88,US,3fd66200f964a52016eb1ee3,French Restaurant,poi,Point
89,"[-73.979227, 40.781856]",97,89,US,3fd66200f964a52017e31ee3,Restaurant,poi,Point
90,"[-73.992491, 40.72534]",98,90,US,3fd66200f964a52017e61ee3,Bar,poi,Point
91,"[-73.984538, 40.756712]",99,91,US,3fd66200f964a52017eb1ee3,Italian Restaurant,poi,Point
92,"[-73.988231, 40.720071]",100,92,US,3fd66200f964a52018e41ee3,Italian Restaurant,poi,Point
93,"[-73.981301, 40.72511]",101,93,US,3fd66200f964a52018e51ee3,Dive Bar,poi,Point
94,"[-73.999844, 40.726986]",102,94,US,3fd66200f964a52018e61ee3,American Restaurant,poi,Point
95,"[-74.003115, 40.731663]",103,95,US,3fd66200f964a52018e71ee3,Ice Cream Shop,poi,Point
96,"[-73.981192, 40.764135]",104,96,US,3fd66200f964a52018eb1ee3,Deli / Bodega,poi,Point
97,"[-73.989279, 40.736549]",105,97,US,3fd66200f964a52019e61ee3,Hotel Bar,poi,Point
98,"[-74.009196, 40.736499]",106,98,US,3fd66200f964a52019e71ee3,Theater,poi,Point
99,"[-73.988613, 40.738761]",107,99,US,3fd66200f964a52019ea1ee3,French Restaurant,poi,Point
100,"[-73.995861, 40.724622]",108,100,US,3fd66200f964a52019eb1ee3,Pub,poi,Point
101,"[-74.003, 40.735019]",109,101,US,3fd66200f964a5201ae31ee3,Paella Restaurant,poi,Point
102,"[-73.983331, 40.72282]",110,102,US,3fd66200f964a5201ae51ee3,Southern / Soul Food Restaurant,poi,Point
103,"[-73.998128, 40.728898]",111,103,US,3fd66200f964a5201ae61ee3,Sushi Restaurant,poi,Point
104,"[-73.985588, 40.719238]",112,104,US,3fd66200f964a5201be41ee3,Dive Bar,poi,Point
105,"[-73.999529, 40.722283]",113,105,US,3fd66200f964a5201be61ee3,Clothing Store,poi,Point
106,"[-74.003582, 40.731996]",114,106,US,3fd66200f964a5201be71ee3,Mexican Restaurant,poi,Point
107,"[-74.009442, 40.745176]",116,107,US,3fd66200f964a5201beb1ee3,Brewery,poi,Point
108,"[-73.992822, 40.726121]",117,108,US,3fd66200f964a5201ce61ee3,Italian Restaurant,poi,Point
109,"[-73.99954, 40.728378]",118,109,US,3fd66200f964a5201de61ee3,Rock Club,poi,Point
