,coordinates,geo_id,geo_id_washed,type,venue_category_id,venue_category_name
0,"[139.707477,35.69806000328058]",0,0,Point,4bf58dd8d48988d1e0931735,Coffee Shop
1,"[139.69111919403076,35.69071166859883]",1,1,Point,4bf58dd8d48988d1fa931735,Hotel
2,"[139.72607374191284,35.71196161431145]",2,2,Point,4bf58dd8d48988d1fa931735,Hotel
3,"[139.75871086120603,35.67227129373131]",3,3,Point,4bf58dd8d48988d1fa931735,Hotel
4,"[139.7374302148819,35.67734369317835]",4,4,Point,4bf58dd8d48988d1fa931735,Hotel
5,"[139.6988707780838,35.68704310565643]",5,5,Point,4bf58dd8d48988d1fa931735,Hotel
6,"[139.72784934488865,35.670580269104704]",7,6,Point,4bf58dd8d48988d1fa931735,Hotel
7,"[139.694569,35.690062]",8,7,Point,4bf58dd8d48988d1fa931735,Hotel
8,"[139.69108700752258,35.6926940165951]",9,8,Point,4bf58dd8d48988d1fa931735,Hotel
9,"[139.74106192588806,35.668126851805255]",10,9,Point,4bf58dd8d48988d1fa931735,Hotel
10,"[139.73459243774414,35.68039394998196]",11,10,Point,4bf58dd8d48988d1fa931735,Hotel
11,"[139.75738316774368,35.66883721833022]",13,11,Point,4bf58dd8d48988d1fa931735,Hotel
12,"[139.76199388504028,35.68607583173909]",14,12,Point,4bf58dd8d48988d1fa931735,Hotel
13,"[139.6906390786171,35.68557476181027]",18,13,Point,4bf58dd8d48988d1fa931735,Hotel
14,"[139.7869654807565,35.553296097125184]",20,14,Point,4bf58dd8d48988d1fa931735,Hotel
15,"[139.71941113471985,35.72951315979672]",21,15,Point,4bf58dd8d48988d1fa931735,Hotel
16,"[139.76220790066373,35.65301696037888]",22,16,Point,4bf58dd8d48988d1fa931735,Hotel
17,"[139.7867774963379,35.68235476778513]",23,17,Point,4bf58dd8d48988d1fa931735,Hotel
18,"[139.8774790763855,35.62644822104287]",24,18,Point,4bf58dd8d48988d1fa931735,Hotel
19,"[139.71532881259918,35.6415685555734]",27,19,Point,4bf58dd8d48988d1fa931735,Hotel
20,"[139.87610042095184,35.626073228306566]",29,20,Point,4bf58dd8d48988d1fa931735,Hotel
21,"[139.73029017448425,35.63928412099786]",30,21,Point,4bf58dd8d48988d1fa931735,Hotel
22,"[139.76084053516388,35.66297323667265]",33,22,Point,4bf58dd8d48988d1fa931735,Hotel
23,"[139.7439479827881,35.66686735205888]",34,23,Point,4bf58dd8d48988d1fa931735,Hotel
24,"[139.7312371741441,35.66622109069786]",35,24,Point,4bf58dd8d48988d1fa931735,Hotel
25,"[139.76072709524502,35.6746828756766]",36,25,Point,4bf58dd8d48988d1fa931735,Hotel
26,"[139.72847308249928,35.65963674990139]",37,26,Point,4bf58dd8d48988d1fa931735,Hotel
27,"[139.70622112849964,35.71186456851081]",39,27,Point,4bf58dd8d48988d117941735,Beer Garden
28,"[139.79748018085957,35.71094618483877]",46,28,Point,4bf58dd8d48988d116941735,Bar
29,"[139.71152007579803,35.6467017556897]",56,29,Point,4bf58dd8d48988d11b941735,Bar
30,"[139.76146817207336,35.67180064238771]",62,30,Point,4bf58dd8d48988d10c941735,French Restaurant
31,"[139.7603637276835,35.67467090056821]",68,31,Point,4bf58dd8d48988d1dc931735,Tea Room
32,"[139.7694445901454,35.702303654913]",69,32,Point,4bf58dd8d48988d16d941735,Café
33,"[139.69747334718704,35.66016312329013]",70,33,Point,4bf58dd8d48988d1e0931735,Coffee Shop
34,"[139.6949815750122,35.6584207815346]",71,34,Point,4bf58dd8d48988d11f941735,Bar
35,"[139.76476728916168,35.67818034664883]",76,35,Point,4bf58dd8d48988d116941735,Bar
36,"[139.7113135457039,35.666192378402776]",79,36,Point,4bf58dd8d48988d16d941735,Café
37,"[139.82507944107056,35.64196963276697]",81,37,Point,4bf58dd8d48988d11f941735,Bar
38,"[139.66780754713488,35.709988662063665]",85,38,Point,4bf58dd8d48988d11f941735,Bar
39,"[139.66987,35.646347]",92,39,Point,4bf58dd8d48988d116941735,Bar
40,"[139.70844,35.654648]",94,40,Point,4bf58dd8d48988d1e9931735,Music Venue
41,"[139.69726180868528,35.52780400992709]",96,41,Point,4bf58dd8d48988d1e9931735,Music Venue
42,"[139.7261729836464,35.66110891890525]",101,42,Point,4bf58dd8d48988d116941735,Bar
43,"[139.73477,35.662015]",104,43,Point,4bf58dd8d48988d11f941735,Bar
44,"[139.72894370555878,35.6610969330862]",105,44,Point,50327c8591d4c4b30a586d5d,Brewery
45,"[139.70242202281952,35.6470526757983]",108,45,Point,4bf58dd8d48988d11f941735,Bar
46,"[139.71065640449524,35.6490949566479]",109,46,Point,4bf58dd8d48988d16d941735,Café
47,"[139.69533026218414,35.65900483528946]",112,47,Point,4bf58dd8d48988d11f941735,Bar
48,"[139.6984013915062,35.661428176877685]",115,48,Point,4bf58dd8d48988d1e9931735,Music Venue
49,"[139.69790518283844,35.662430616822235]",116,49,Point,4bf58dd8d48988d11f941735,Bar
50,"[139.7011023759842,35.65679935618394]",117,50,Point,4bf58dd8d48988d1e9931735,Music Venue
51,"[139.701244,35.6941317]",118,51,Point,4bf58dd8d48988d11f941735,Bar
52,"[139.67201909037715,35.642094624363]",119,52,Point,4bf58dd8d48988d1e5931735,Music Venue
53,"[139.79673385620117,35.71472743702163]",121,53,Point,4bf58dd8d48988d13a941735,Temple
54,"[139.74725246429443,35.62289444016655]",122,54,Point,50327c8591d4c4b30a586d5d,Brewery
55,"[139.71391797065735,35.64241866245378]",123,55,Point,4bf58dd8d48988d164941735,Plaza
56,"[139.79742050170898,35.7150366805238]",124,56,Point,4eb1d80a4b900d56c88a45ff,Shrine
57,"[139.71816658973694,35.7293476794105]",126,57,Point,4bf58dd8d48988d130941735,Building
58,"[139.77407455444336,35.71406103497294]",127,58,Point,4bf58dd8d48988d163941735,Park
59,"[139.80398654937744,35.71230135833511]",128,59,Point,4bf58dd8d48988d163941735,Park
60,"[139.7850662469864,35.68365541701122]",130,60,Point,4eb1d80a4b900d56c88a45ff,Shrine
61,"[139.68871593475342,35.67178321080316]",131,61,Point,4eb1d80a4b900d56c88a45ff,Shrine
62,"[139.76457819342613,35.67458746800935]",133,62,Point,4bf58dd8d48988d12d941735,Government Building
63,"[139.7585391998291,35.654680992821085]",134,63,Point,4bf58dd8d48988d15a941735,Garden
64,"[139.70027922656513,35.69080269423021]",135,64,Point,4bf58dd8d48988d129951735,Train Station
65,"[139.76608157157898,35.68137872227962]",136,65,Point,4bf58dd8d48988d129951735,Train Station
66,"[139.76433277130127,35.68261620651813]",137,66,Point,4bf58dd8d48988d130941735,Building
67,"[139.7752332687378,35.62859349451209]",138,67,Point,4bf58dd8d48988d182941735,Park
68,"[139.7292948425235,35.66065252989456]",139,68,Point,4bf58dd8d48988d1fd941735,Mall
69,"[139.72926020622253,35.660473668016515]",147,69,Point,4bf58dd8d48988d18f941735,Art Museum
70,"[139.79300022125244,35.655134309871]",151,70,Point,4bf58dd8d48988d1fd941735,Mall
71,"[139.7080929461413,35.67056082173885]",153,71,Point,4bf58dd8d48988d1e2931735,Art Gallery
72,"[139.70030307769775,35.68663354065462]",162,72,Point,4bf58dd8d48988d1c1941735,Mexican Restaurant
73,"[139.7295187202376,35.66069856578814]",183,73,Point,4bf58dd8d48988d150941735,Spanish Restaurant
74,"[139.73421010270533,35.66175243610177]",185,74,Point,4bf58dd8d48988d14e941735,American Restaurant
75,"[139.69597533345222,35.66006723555166]",188,75,Point,4bf58dd8d48988d16b941735,Brazilian Restaurant
