geo_id,total_visit_time,day_feature,hour_feature
0,155,weekday,5
1,31,weekday,3
2,18,weekend,5
3,128,weekday,5
4,6,weekend,5
5,15,weekday,5
6,20,weekday,5
7,147,weekday,3
8,27,weekday,6
9,110,weekday,5
10,35,weekday,5
11,142,weekday,5
12,7,weekday,3
13,44,weekday,5
14,39,weekday,6
15,84,weekday,5
16,22,weekday,5
17,339,weekday,5
18,7,weekend,6
19,4,weekday,5
20,15,weekday,5
21,10,weekday,5
22,7,weekday,4
23,28,weekend,5
24,13,weekend,5
25,22,weekday,5
26,26,weekday,5
27,5,weekend,5
28,44,weekday,3
29,13,weekday,4
30,119,weekday,5
31,79,weekday,3
32,36,weekday,5
33,213,weekend,5
34,8,weekend,5
35,100,weekday,5
36,3,weekend,1
37,13,weekend,3
38,63,weekday,6
39,173,weekday,5
40,32,weekend,5
41,17,weekday,5
42,120,weekday,5
43,54,weekday,5
44,51,weekday,5
45,38,weekday,5
46,59,weekday,5
47,24,weekday,5
48,93,weekday,5
49,64,weekday,5
50,22,weekday,5
51,42,weekend,3
52,31,weekday,5
53,267,weekday,5
54,16,weekend,5
55,26,weekday,5
56,9,weekday,2
57,49,weekday,5
58,27,weekend,6
59,18,weekday,2
60,26,weekday,1
61,4,weekend,5
62,20,weekend,5
63,14,weekend,5
64,24,weekday,6
65,33,weekday,5
66,45,weekend,3
67,10,weekday,5
68,10,weekend,5
69,6,weekday,3
70,70,weekday,5
71,10,weekend,6
72,30,weekday,3
73,10,weekend,5
74,6,weekend,5
75,6,weekday,3
76,8,weekday,4
77,9,weekend,4
78,19,weekday,5
79,93,weekday,5
80,322,weekday,5
81,103,weekday,5
82,19,weekday,5
83,18,weekday,5
84,69,weekday,5
85,15,weekday,5
86,84,weekend,5
87,31,weekday,5
88,28,weekday,5
89,42,weekday,5
90,67,weekday,5
91,11,weekday,5
92,36,weekday,5
93,47,weekend,5
94,8,weekend,3
95,11,weekend,3
96,73,weekday,3
97,52,weekday,5
98,6,weekend,5
