geo_id,total_visit_time,day_feature,hour_feature
0,26,weekday,3
1,37,weekday,3
2,7,weekday,4
3,18,weekday,3
4,617,weekday,5
5,96,weekday,5
6,47,weekday,2
7,15,weekday,5
8,16,weekend,4
9,9,weekday,5
10,352,weekday,5
11,23,weekday,0
12,3,weekend,5
13,54,weekday,5
14,28,weekday,3
15,44,weekday,5
16,13,weekday,4
17,73,weekend,5
18,30,weekend,5
19,42,weekday,5
20,89,weekday,5
21,60,weekend,5
22,57,weekday,5
23,64,weekday,4
24,22,weekday,5
25,51,weekday,4
26,37,weekday,5
27,5,weekday,5
28,65,weekday,5
29,96,weekday,5
30,49,weekend,5
31,35,weekday,5
32,41,weekday,5
33,70,weekday,4
34,106,weekday,3
35,101,weekday,5
36,131,weekday,5
37,109,weekday,5
38,118,weekday,3
39,125,weekday,6
40,192,weekday,3
41,50,weekend,5
42,102,weekday,5
43,66,weekday,3
44,53,weekday,5
45,212,weekday,5
46,122,weekend,5
47,5,weekday,4
48,6,weekend,5
49,34,weekday,5
50,17,weekday,1
51,3,weekend,3
52,39,weekday,3
53,129,weekend,5
54,133,weekday,5
55,159,weekday,5
56,7,weekday,5
57,115,weekday,5
58,26,weekday,5
59,170,weekday,0
60,36,weekday,3
61,11,weekday,5
62,8,weekday,3
63,10,weekend,5
64,110,weekday,5
65,20,weekday,5
66,112,weekday,5
67,53,weekday,4
68,36,weekday,5
69,22,weekday,5
70,1290,weekday,6
71,51,weekday,5
72,5,weekend,4
73,15,weekend,5
74,25,weekday,5
75,12,weekend,6
76,30,weekday,5
77,115,weekday,6
78,31,weekday,5
79,7,weekday,5
80,37,weekend,6
81,25,weekday,5
82,4,weekend,3
83,22,weekend,2
84,9,weekend,3
85,31,weekday,5
86,15,weekday,5
87,43,weekday,5
88,7,weekday,5
89,99,weekend,6
90,7,weekend,5
91,343,weekday,6
92,8,weekday,5
93,28,weekday,5
94,8,weekday,5
95,17,weekday,5
96,8,weekend,5
97,4,weekend,5
98,7,weekend,5
99,54,weekend,4
100,28,weekday,5
101,80,weekday,5
102,5,weekday,3
103,20,weekday,3
104,11,weekday,3
105,6,weekday,1
106,3,weekday,1
107,17,weekday,3
108,217,weekday,5
109,592,weekday,5
110,4,weekday,4
111,67,weekend,3
112,192,weekday,5
113,409,weekday,3
114,5,weekday,4
115,47,weekday,0
116,101,weekday,5
117,20,weekday,3
118,145,weekday,5
119,12,weekday,3
120,95,weekday,0
121,964,weekday,5
122,35,weekend,4
123,70,weekday,3
124,6,weekend,4
125,15,weekday,5
126,4,weekend,0
127,13,weekday,1
128,11,weekday,5
129,13,weekday,5
130,5,weekday,3
131,52,weekend,3
132,18,weekend,3
133,25,weekend,3
134,10,weekend,4
135,9,weekday,3
136,8,weekday,3
137,9,weekday,3
138,88,weekend,4
139,73,weekend,4
140,25,weekday,4
141,150,weekday,5
142,218,weekday,5
143,201,weekend,3
144,10,weekend,2
145,7,weekday,0
146,11,weekday,6
147,36,weekend,5
148,50,weekday,5
149,307,weekday,5
150,64,weekday,5
151,361,weekend,3
152,13,weekend,4
153,9,weekday,3
154,4,weekend,3
155,9,weekday,5
156,40,weekend,4
157,11,weekday,3
158,23,weekday,3
159,425,weekday,5
160,73,weekday,5
161,7,weekday,5
162,11,weekday,3
163,2,weekend,1
164,172,weekday,3
165,70,weekday,4
166,126,weekday,5
167,8,weekend,3
168,7,weekend,2
169,5,weekend,3
170,14,weekday,3
171,68,weekday,3
172,183,weekday,3
173,15,weekday,3
174,73,weekday,3
175,53,weekday,3
176,8,weekday,3
177,8,weekday,3
178,16,weekday,3
179,7,weekend,3
180,13,weekday,3
181,20,weekday,3
182,18,weekday,5
183,5,weekend,5
184,20,weekday,5
185,22,weekend,5
186,22,weekday,5
187,7,weekday,5
188,13,weekday,5
189,13,weekend,2
190,3,weekend,5
191,10,weekday,2
192,3,weekend,2
193,5,weekday,2
194,6,weekend,5
195,5,weekend,5
196,4,weekend,3
197,6,weekend,5
198,30,weekday,5
199,72,weekday,5
200,13,weekday,5
201,24,weekend,5
202,15,weekday,5
203,47,weekday,5
204,34,weekend,5
205,13,weekday,5
206,13,weekday,2
207,15,weekday,4
208,9,weekday,5
209,25,weekday,5
210,5,weekday,5
211,9,weekend,4
212,80,weekday,5
213,9,weekday,5
214,5,weekend,4
215,10,weekday,5
216,5,weekend,5
217,23,weekday,5
218,15,weekday,5
219,105,weekend,5
220,8,weekday,5
221,7,weekday,5
222,9,weekend,5
223,14,weekday,5
224,11,weekend,2
225,43,weekend,3
226,7,weekday,2
227,5,weekday,2
228,26,weekend,5
229,9,weekend,5
230,6,weekday,3
231,5,weekday,5
232,6,weekday,5
233,20,weekday,5
234,17,weekday,5
235,5,weekend,5
236,4,weekend,5
237,20,weekend,5
238,5,weekday,5
239,78,weekday,5
240,143,weekday,5
241,46,weekday,5
242,17,weekday,3
243,241,weekday,4
244,60,weekend,3
245,22,weekday,4
246,105,weekday,5
247,177,weekday,5
248,668,weekday,5
249,709,weekday,5
250,261,weekday,5
251,969,weekday,5
252,403,weekday,5
253,9,weekday,3
254,13,weekend,4
255,409,weekday,5
256,13,weekday,5
257,13,weekday,5
258,14,weekday,5
259,32,weekday,5
260,454,weekday,3
261,1985,weekday,3
262,718,weekday,3
263,113,weekday,3
264,26,weekday,3
265,140,weekday,3
266,12,weekday,3
267,98,weekday,3
268,515,weekday,3
269,1245,weekday,3
270,45,weekday,3
271,619,weekday,5
272,481,weekday,3
273,209,weekday,3
274,1407,weekday,3
275,617,weekday,3
276,1140,weekday,3
277,3361,weekday,3
278,37,weekday,3
279,20,weekday,3
280,3,weekday,3
281,8,weekday,3
282,475,weekday,3
283,2294,weekday,3
284,2343,weekday,3
285,146,weekday,3
286,100,weekday,5
287,4054,weekday,3
288,56,weekday,1
289,383,weekday,3
290,18,weekend,3
291,26,weekday,5
292,57,weekday,5
293,220,weekday,3
294,322,weekday,3
295,57,weekday,3
296,11,weekday,3
297,85,weekday,3
298,4,weekday,3
299,4494,weekday,3
300,130,weekday,5
301,10,weekday,3
302,96,weekday,3
303,8,weekday,2
304,15,weekday,3
305,19,weekend,3
306,468,weekday,3
307,64,weekday,3
308,518,weekday,3
309,1260,weekday,3
310,16,weekday,4
311,35,weekday,4
312,76,weekday,3
313,82,weekday,5
314,12,weekday,5
315,52,weekday,3
316,4,weekday,4
317,84,weekday,3
318,14,weekday,3
319,142,weekday,3
320,167,weekday,3
321,437,weekday,3
322,414,weekday,3
323,84,weekday,3
324,255,weekday,3
325,539,weekend,3
326,858,weekday,5
327,1161,weekday,3
328,38,weekday,3
329,27,weekday,3
330,94,weekday,3
331,9,weekday,5
332,12,weekday,3
333,41,weekday,5
334,27,weekday,3
335,52,weekend,0
336,24,weekday,5
337,56,weekend,4
338,11,weekend,4
339,21,weekday,2
340,81,weekend,5
341,26,weekday,3
342,64,weekday,3
343,53,weekday,2
344,22,weekday,4
345,65,weekday,0
346,11,weekday,1
347,199,weekday,3
348,57,weekday,3
349,16,weekday,5
350,6,weekend,4
351,62,weekday,3
352,37,weekday,3
353,86,weekday,5
354,21,weekday,3
355,31,weekday,5
356,74,weekday,5
357,13,weekday,1
358,14,weekday,3
359,103,weekend,5
360,15,weekday,4
361,216,weekday,5
362,5,weekday,5
363,24,weekday,5
364,44,weekend,3
365,47,weekend,4
366,9,weekend,2
367,1189,weekday,3
368,216,weekday,5
369,467,weekday,5
370,22,weekday,3
371,214,weekday,3
372,13,weekday,5
373,59,weekday,5
374,25,weekday,5
375,13,weekday,5
376,8,weekday,5
377,204,weekday,3
378,183,weekday,3
379,7,weekday,1
380,60,weekday,3
381,32,weekday,3
382,10,weekday,3
383,1523,weekday,3
384,22,weekend,5
385,78,weekend,3
386,286,weekday,4
387,113,weekend,3
388,33,weekend,2
389,57,weekday,3
390,132,weekend,5
391,301,weekday,5
392,50,weekday,5
393,43,weekday,4
394,17,weekday,5
395,23,weekday,5
396,15,weekday,3
397,11,weekday,3
398,7,weekday,2
399,5,weekday,4
400,60,weekday,5
401,18,weekday,4
402,867,weekday,3
403,10,weekday,5
404,483,weekday,3
405,41,weekend,4
406,61,weekday,3
407,124,weekend,3
408,13,weekday,6
409,131,weekday,0
410,49,weekday,3
411,73,weekday,5
412,53,weekday,3
413,45,weekday,3
414,142,weekday,5
415,34,weekday,3
416,18,weekend,3
417,33,weekday,4
418,53,weekday,6
419,19,weekday,3
420,114,weekday,5
421,1182,weekday,3
422,120,weekday,3
423,99,weekday,3
424,4305,weekday,3
425,530,weekday,3
426,1696,weekday,1
427,17,weekday,5
428,8,weekday,5
429,108,weekday,5
430,668,weekday,5
431,94,weekday,3
432,235,weekday,3
433,345,weekday,5
434,65,weekend,3
435,33,weekday,5
436,19,weekday,4
437,51,weekday,3
438,93,weekday,3
439,48,weekday,5
440,115,weekend,2
441,109,weekday,0
442,202,weekday,0
443,9,weekday,3
444,47,weekday,0
445,363,weekday,0
446,5,weekday,3
447,6,weekday,2
448,60,weekday,0
449,101,weekday,0
450,70,weekday,0
451,5,weekend,5
452,162,weekday,0
453,415,weekday,0
454,37,weekday,0
455,118,weekday,0
456,235,weekday,0
457,1388,weekday,0
458,1970,weekday,0
459,1837,weekday,3
460,467,weekday,3
461,625,weekday,3
462,2095,weekday,3
463,818,weekday,0
464,213,weekday,3
465,385,weekday,0
466,1098,weekday,3
467,72,weekday,4
468,19,weekday,0
469,60,weekday,0
470,200,weekday,3
471,135,weekday,0
472,106,weekday,0
473,289,weekday,3
474,99,weekday,0
475,124,weekday,5
476,114,weekday,0
477,159,weekday,5
478,85,weekday,5
479,183,weekday,5
480,80,weekday,0
481,195,weekday,0
482,57,weekday,5
483,18,weekday,3
484,68,weekday,3
485,37,weekday,4
486,7,weekday,1
487,269,weekday,3
488,19,weekday,5
489,525,weekday,3
490,5,weekday,4
491,50,weekday,4
492,87,weekday,1
493,8,weekday,1
494,32,weekday,5
495,80,weekday,3
496,577,weekday,3
497,416,weekday,3
498,272,weekday,3
499,73,weekday,0
500,67,weekday,3
501,1268,weekday,5
502,98,weekday,5
503,65,weekday,3
504,9,weekend,5
505,347,weekday,5
506,21,weekday,2
507,245,weekday,0
508,48,weekday,2
509,18,weekday,3
510,160,weekday,5
511,7,weekday,3
512,27,weekday,5
513,89,weekday,3
514,82,weekday,3
515,33,weekday,3
516,8,weekday,3
517,34,weekday,5
518,7,weekend,1
519,34,weekday,5
520,93,weekday,3
521,1252,weekday,3
522,763,weekday,3
523,19,weekday,3
524,49,weekday,0
525,9,weekday,5
526,53,weekday,3
527,113,weekday,5
