geo_id,total_visit_time,day_feature,hour_feature
0,7,weekday,4
1,21,weekday,3
2,9,weekday,3
3,32,weekday,3
4,8,weekend,3
5,11,weekday,3
6,33,weekday,1
7,27,weekday,3
8,26,weekday,4
9,56,weekday,3
10,38,weekday,3
11,5,weekend,4
12,28,weekday,1
13,11,weekday,4
14,7,weekday,5
15,5,weekend,3
16,18,weekend,3
17,15,weekday,0
18,6,weekend,3
19,14,weekday,3
20,6,weekend,1
21,5,weekday,2
22,8,weekday,1
23,12,weekend,3
24,30,weekend,3
25,25,weekday,5
26,17,weekday,3
27,6,weekday,5
28,13,weekday,5
29,6,weekend,5
30,29,weekday,5
31,5,weekday,4
32,60,weekday,5
33,19,weekday,3
34,32,weekend,6
35,19,weekday,5
36,8,weekend,3
37,21,weekend,5
38,18,weekend,3
39,12,weekend,4
40,9,weekday,4
41,34,weekday,4
42,6,weekend,3
43,16,weekend,6
44,8,weekday,5
45,30,weekday,5
46,5,weekday,3
47,23,weekend,3
48,7,weekend,1
49,11,weekend,0
50,9,weekday,5
51,13,weekday,5
52,15,weekend,5
53,108,weekday,3
54,14,weekday,3
55,61,weekday,3
56,19,weekend,3
57,321,weekday,5
58,116,weekday,3
59,11,weekend,3
60,28,weekend,3
61,64,weekday,3
62,9,weekday,5
63,13,weekday,1
64,11891,weekday,5
65,5006,weekday,5
66,76,weekday,4
67,7,weekend,5
68,427,weekday,1
69,33,weekday,4
70,158,weekend,3
71,10,weekend,4
72,5,weekend,3
73,10,weekday,5
74,6,weekday,5
75,12,weekday,5
76,13,weekday,5
77,48,weekday,4
78,61,weekend,4
79,14,weekday,5
80,13,weekend,5
81,12,weekend,4
82,35,weekday,4
83,30,weekday,5
84,11,weekend,4
85,20,weekend,4
86,14,weekend,2
87,8,weekend,4
88,8,weekday,5
89,150,weekday,5
90,32,weekday,3
91,5,weekday,5
92,30,weekday,5
93,7,weekday,3
94,22,weekend,3
95,31,weekday,3
96,11,weekday,5
97,37,weekend,4
98,7,weekend,3
99,53,weekend,3
100,9,weekday,5
101,58,weekday,3
102,10,weekend,4
103,26,weekday,3
104,899,weekday,5
105,37,weekend,2
106,218,weekday,5
107,62,weekday,3
108,24,weekday,5
109,118,weekday,0
110,506,weekday,5
111,542,weekday,0
112,13,weekday,5
